[2022-07-23 12:13:43,513][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:13:43,513][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:13:43,537][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 12:13:43,537][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 12:14:37,500][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:14:37,500][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2708
[2022-07-23 12:14:37,734][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:14:37,735][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:14:37,740][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 12:14:37,740][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 12:15:37,914][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:15:37,915][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2708
[2022-07-23 12:15:38,154][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:15:38,157][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:15:38,161][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 12:15:38,162][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 12:18:39,508][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:18:39,509][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2708
[2022-07-23 12:18:39,808][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:18:39,810][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:18:39,816][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 12:18:39,817][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 12:18:43,457][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/?user_id=zhubaobao with method: GET
[2022-07-23 12:18:43,458][django.server.log_message():161] [INFO] "GET /user/info/?user_id=zhubaobao HTTP/1.1" 200 568
[2022-07-23 12:19:34,013][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:19:34,014][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2708
[2022-07-23 12:19:34,300][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:19:34,304][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:19:34,309][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 12:19:34,309][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 12:20:33,612][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:20:33,613][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2708
[2022-07-23 12:20:33,950][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:20:33,953][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:20:33,957][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 12:20:33,958][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 12:20:36,578][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/?user_id=zhubaobao with method: GET
[2022-07-23 12:20:36,579][django.server.log_message():161] [INFO] "GET /user/info/?user_id=zhubaobao HTTP/1.1" 200 568
[2022-07-23 12:21:05,471][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:21:05,471][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2708
[2022-07-23 12:21:05,761][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:21:05,764][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:21:05,770][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/ with method: GET
[2022-07-23 12:21:05,770][django.server.log_message():161] [INFO] "GET /user/info/ HTTP/1.1" 200 1042
[2022-07-23 12:21:52,575][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/info/?user_id=zhubaobao with method: GET
[2022-07-23 12:21:52,575][django.server.log_message():161] [INFO] "GET /user/info/?user_id=zhubaobao HTTP/1.1" 200 568
[2022-07-23 12:21:58,408][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/ftp/ with method: GET
[2022-07-23 12:21:58,409][django.server.log_message():161] [INFO] "GET /public/ftp/ HTTP/1.1" 200 2
[2022-07-23 12:22:01,569][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/db/ with method: GET
[2022-07-23 12:22:01,570][django.server.log_message():161] [INFO] "GET /public/db/ HTTP/1.1" 200 2
[2022-07-23 12:22:10,068][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/redis/ with method: GET
[2022-07-23 12:22:10,068][django.server.log_message():161] [INFO] "GET /public/redis/ HTTP/1.1" 200 2
[2022-07-23 12:22:11,348][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/mq/ with method: GET
[2022-07-23 12:22:11,349][django.server.log_message():161] [INFO] "GET /public/mq/ HTTP/1.1" 200 2
[2022-07-23 12:42:44,715][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:42:44,716][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
[2022-07-23 12:42:47,700][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:42:47,701][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
[2022-07-23 12:42:51,243][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/33/ with method: PUT
[2022-07-23 12:42:51,244][django.server.log_message():161] [INFO] "PUT /user/menu/33/ HTTP/1.1" 200 296
[2022-07-23 12:42:51,265][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:42:51,266][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5200
[2022-07-23 12:42:51,279][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:42:51,280][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5200
[2022-07-23 12:42:53,919][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:42:53,920][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2713
[2022-07-23 12:42:54,103][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:42:54,103][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5200
[2022-07-23 12:42:56,709][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/ftp/ with method: GET
[2022-07-23 12:42:56,710][django.server.log_message():161] [INFO] "GET /public/ftp/ HTTP/1.1" 200 2
[2022-07-23 12:43:18,519][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:43:18,520][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
